,SA1_code,apr20_test_daily_coverage
297,20602111233,4.053495840023354
298,20602111234,4.898176718092567
299,20602111235,0.8612705323570156
300,20602111236,0.3345041131343008
301,20602111237,2.637795275590551
302,20602111238,3.738351254480287
303,20602111239,3.450047638491901
304,20602111240,5.992841124719683
305,20602111241,2.0037111047673424
306,20602111242,8.136192162599123
308,20603111302,2.350481269510926
309,20603111303,1.543158454448777
310,20603111304,0.5625435135762359
311,20603111305,6.3253386398547695
312,20603111306,1.287869970069837
313,20603111307,3.1274632860549767
314,20603111308,5.463198546115402
315,20603111309,3.3070995021482643
316,20603111310,4.970620347394541
317,20603111311,0.8365535027269267
318,20603111312,0.8057313371405052
319,20603111313,7.267251051893408
320,20603111314,2.6689759688244212
321,20603111315,1.3389255535681244
322,20603111316,2.6522133780198294
323,20603111317,7.00687968200581
324,20603111318,26.880184331797235
325,20603111319,2.3442004118050788
326,20603111320,8.347179260568568
327,20603111321,7.596713329275716
328,20603111322,3.710720405274529
329,20603111323,6.72363662664545
330,20603111324,2.202301337529504
331,20603111325,0.7641529587694936
332,20603111326,1.1906823586804072
333,20603111327,2.587579617834395
334,20603111328,2.5792821444797815
335,20603111329,13.1713237673967
336,20603111330,1.4086855047095106
338,20603111332,6.96503766660228
339,20603111401,10.561918569530022
340,20603111402,3.9943668753009147
341,20603111403,1.5305422100205903
342,20603111404,2.105283210566421
345,20603111407,0.834762488090377
346,20603111408,1.9551899063475546
347,20603111409,1.9502476049428428
348,20603111410,0.3322248087795145
349,20603111411,1.2408730925246285
350,20603111412,1.8618134263295554
351,20603111413,2.349367088607595
352,20603111414,2.18896036325797
353,20603111415,2.6026444773737603
354,20603111416,0.2814925585701061
355,20603111417,2.215472699343667
356,20603111418,0.47957429931253304
357,20603111419,1.0927298988926337
358,20603111420,2.7754253599199323
360,20603111422,0.5642614601018676
361,20603111423,1.0227534562211982
363,20603111425,3.7979596489228307
364,20603111426,3.454849681808208
365,20603111427,6.761957730812013
366,20603111428,9.236696116704335
367,20603111429,7.297552836484983
368,20603111430,3.366810774858663
369,20603111431,4.199600931160625
370,20603111432,0.8404729799813296
371,20603111433,1.8519757355859177
372,20603111434,0.7148525099189236
373,20603111435,3.3429414325095514
374,20603111436,3.026444523218716
375,20603111437,4.123411534701857
376,20603111438,3.8710216851871833
377,20603111439,0.19288155372176377
378,20603111440,4.028231943830707
379,20603111441,8.823254442853532
380,20603111442,1.874118529632408
381,20603111443,3.068834137668275
382,20603111444,12.477912471748514
383,20603111445,2.4293593279035464
384,20603111446,0.5542690855055414
385,20603111447,1.0878825475599667
386,20603111448,0.6137566137566137
387,20603111449,1.975717176526604
388,20603111450,14.480905741755773
389,20603111451,1.4013929618768328
390,20603111452,1.7064019851116625
391,20603111453,0.5729111581173982
392,20603111454,0.7964354102224186
393,20603111455,1.5066918325326013
394,20603111456,3.372481190002594
395,20603111457,8.278634876110333
396,20603111458,1.0284011220196352
397,20603111459,4.859361242295686
398,20603111460,0.7222222222222222
399,20603111461,3.336641852770885
400,20603111501,10.036559139784947
401,20603111502,1.6754862873021628
402,20603111503,3.3308920342330475
403,20603111504,2.0529274409755254
404,20603111505,4.440635733045997
405,20603111506,8.480525686977298
406,20603111507,13.177992720745873
407,20603111508,5.086035880627911
408,20603111509,4.042508290624058
409,20603111510,0.44807238394964594
410,20603111511,3.4693377407956234
412,20603111513,2.0741047647232906
413,20603111514,4.8943123938879465
414,20603111515,4.208574579542321
417,20603111519,10.945294842818985
418,20603111520,10.6567521157856
419,20603111521,0.004482993860247538
420,20603111522,2.4362948278969183
421,20603111523,9.917724776938917
422,20603111524,0.9061084420041181
423,20603111601,0.44043635390175345
425,20603111603,8.766660916566039
426,20603111604,0.8458087233075874
427,20603111605,3.1783962141275564
428,20603111606,0.316027231659986
430,20603111608,0.4303904923599321
431,20603111609,1.6529551851050013
432,20603111610,5.360061443932412
434,20603111612,0.8243797740041665
435,20603111613,6.603364055299539
436,20603111614,3.0758485273492284
438,20603111616,1.1710051064889775
439,20603111617,2.123620543293718
440,20603111618,5.76516129032258
441,20603111619,2.937429080888312
442,20603111620,0.1946607341490545
444,20603111622,1.6058690993020828
445,20603111623,1.9241625310173698
448,20603111626,1.1075776019476566
449,20603111627,7.475622024009121
450,20603111628,3.5940302503011643
451,20603111629,107.61290322580645
452,20603111630,1.9338356486931954
453,20603111631,1.9620138679529695
